username,has_archive,archive_cutoff,tweet_count_in_fresh,min_date,max_date,days_covered,rate_per_day,days_since_cutoff,estimated_total,statuses_count_alltime,followers_count,display_name,error,api_error
sanjehorah,True,2024-09-08,1758,2025-03-24,2026-02-26,536,3.28,540,1771,,,,,
SarahAMcManus,True,2024-09-10,216,2025-06-08,2026-02-27,534,0.4,537,217,,,,,
schulzb589,True,2025-11-26,336,2025-11-27,2026-02-27,93,3.61,96,347,,,,,
scienceboi420,True,2024-11-07,272,2024-11-08,2025-12-26,413,0.66,479,315,,,,,
sedatesnail,True,2024-09-24,46,2025-05-03,2026-02-27,520,0.09,523,46,,,,,
selkrei,True,2025-07-22,211,2025-08-25,2026-02-23,216,0.98,223,218,,,,,
SelonNerias,True,2024-09-16,883,2025-01-26,2026-02-27,528,1.67,532,890,,,,,
sensefulronin,True,2024-11-29,1628,2024-12-01,2026-02-27,454,3.59,457,1639,,,,,
sevensix43,True,2025-11-19,531,2025-11-19,2026-01-19,60,8.85,103,912,,,,,
sharanvkaur,True,2022-09-22,32,2022-10-28,2025-11-08,1142,0.03,1257,35,,,,,
shephard42,True,2025-10-17,1305,2025-10-18,2026-02-10,116,11.25,136,1530,,,,,
Shoalst0ne,True,2025-11-26,26,2026-02-25,2026-02-27,93,0.28,96,27,,,,,
silverarm0r,True,2025-05-01,37,2026-02-23,2026-02-26,300,0.12,304,37,,,,,
slimepriestess,True,2024-09-14,1130,2025-10-14,2026-02-27,531,2.13,533,1134,,,,,
sofvanh,True,2025-08-28,153,2025-08-28,2026-02-10,165,0.93,186,172,,,,,
solarapparition,True,2025-12-31,381,2026-01-02,2026-02-27,57,6.68,61,408,,,,,
SpeaksNanda,True,2024-12-18,534,2024-12-25,2026-02-27,436,1.22,439,538,,,,,
strangestloop,True,2024-09-25,227,2026-01-01,2026-01-31,493,0.46,523,241,,,,,
subrupt,True,2024-12-02,266,2024-12-03,2026-02-27,452,0.59,454,267,,,,,
sucralose__,True,2026-01-05,157,2026-01-08,2026-02-23,49,3.2,56,179,,,,,
sunriseoath,True,2024-09-21,425,2025-04-16,2026-02-25,521,0.82,527,430,,,,,
SurenVynn,True,2024-10-05,514,2026-01-29,2026-02-27,510,1.01,513,517,,,,,
SurrealistShip,True,2025-06-26,1050,2025-11-17,2026-02-27,246,4.27,248,1059,,,,,
taijitu_sees,True,2024-11-17,1465,2025-03-14,2026-02-27,467,3.14,470,1474,,,,,
Tangrenin,True,2025-08-09,259,2025-08-10,2026-02-26,200,1.29,204,264,,,,,
tasshinfogleman,True,2025-11-28,224,2026-02-09,2026-02-27,90,2.49,93,231,,,,,
TBagsMusings,True,2025-02-16,79,2025-08-09,2026-02-15,364,0.22,379,82,,,,,
technoshaman,True,2024-10-11,450,2024-10-12,2026-02-27,504,0.89,507,453,,,,,
tessera_antra,True,2025-11-01,173,2025-11-02,2026-02-26,116,1.49,120,179,,,,,
thankyoudando,True,2025-03-12,122,2025-03-12,2026-02-23,348,0.35,355,124,,,,,
the_wilderless,True,2024-09-05,357,2025-07-25,2026-02-27,540,0.66,543,359,,,,,
theseeker,True,2025-12-11,220,2025-12-11,2026-02-27,77,2.86,80,229,,,,,
TheZvi,True,2024-11-05,1424,2025-05-25,2026-02-27,478,2.98,481,1433,,,,,
timfduffy,True,2024-11-02,904,2024-11-03,2026-02-27,481,1.88,484,910,,,,,
tnorthcutt,True,2024-11-16,1476,2025-08-18,2026-02-27,467,3.16,470,1485,,,,,
todd_x_y,True,2024-11-19,767,2024-11-21,2026-02-27,464,1.65,467,772,,,,,
toinpu,True,2025-02-25,717,2025-02-25,2026-02-27,366,1.96,370,725,,,,,
tolly_xyz,True,2025-08-06,2322,2025-08-07,2026-01-27,173,13.42,207,2778,,,,,
torulane,True,2025-02-21,599,2025-02-21,2026-02-19,363,1.65,374,617,,,,,
tr_babb,True,2024-11-14,1124,2025-03-07,2026-02-26,468,2.4,472,1134,,,,,
trangquest,True,2024-12-24,81,2025-11-23,2026-02-25,427,0.19,432,82,,,,,
transkatgirl,True,2025-10-18,862,2026-01-22,2026-02-27,131,6.58,134,882,,,,,
tutorvals,True,2025-12-09,0,,,,,,,,,,empty_file,
TylerAlterman,True,2024-08-20,1186,2025-01-31,2026-02-27,556,2.13,559,1192,,,,,
Tymtweet,True,2025-02-22,777,2025-02-23,2026-02-06,348,2.23,372,831,,,,,
uberstuber,True,2024-10-05,1455,2025-03-01,2026-02-27,509,2.86,512,1464,,,,,
ulkar_aghayeva,True,2025-10-12,243,2025-10-14,2026-02-27,137,1.77,140,248,,,,,
ultimape,True,2025-10-07,37,2025-11-16,2026-02-27,142,0.26,145,38,,,,,
ulyssepence,True,2024-09-05,341,2025-10-12,2026-02-27,539,0.63,542,343,,,,,
underyx,True,2024-11-03,21,2024-11-04,2026-02-27,480,0.04,484,21,,,,,
univrsw3th4rt,True,2025-08-14,464,2026-01-03,2026-02-22,192,2.42,200,483,,,,,
