model,mae_log_mean,rmse_log_mean,r2_log_mean,mae_log_problem_mean,rmse_log_problem_mean,r2_log_problem_mean
huber,0.6408666557397407,0.816222815068926,0.9095654353141978,0.6119928864024264,0.7863916496267417,0.6547300822152247
ridge,0.643248528315502,0.8153538297238689,0.9097612341107837,0.6120261945104704,0.7865794411717388,0.6545782134093523
gbr,0.6520701292293567,0.8317854385909047,0.9060879173950367,0.6143946248526033,0.7901283195791667,0.6515953097545522
rf,0.6680463926695941,0.8483672859763387,0.9022683849666785,0.6301410306631597,0.8028559424844579,0.6401278241461785
